,platform,url,measured.on
71,voorjebuurt,https://www.voorjebuurt.nl/campaigns/reigershof/,2015-03-18
72,voorjebuurt,https://www.voorjebuurt.nl/campaigns/herweijerhoeve/,2015-03-18
73,voorjebuurt,https://www.voorjebuurt.nl/campaigns/molenweide/,2015-03-18
74,voorjebuurt,https://www.voorjebuurt.nl/campaigns/waaygat/,2015-03-18
75,voorjebuurt,https://www.voorjebuurt.nl/campaigns/gagelhoeve/,2015-03-18
76,voorjebuurt,https://www.voorjebuurt.nl/campaigns/opdendijk/,2015-03-18
77,voorjebuurt,https://www.voorjebuurt.nl/campaigns/landzigt/,2015-03-18
78,voorjebuurt,https://www.voorjebuurt.nl/campaigns/balijhoeve/,2015-03-18
79,voorjebuurt,https://www.voorjebuurt.nl/campaigns/kakelhof/,2015-03-18
80,voorjebuurt,https://www.voorjebuurt.nl/campaigns/vogelhuisboom/,2015-03-18
81,voorjebuurt,https://www.voorjebuurt.nl/campaigns/speeltuin/,2015-03-18
82,voorjebuurt,https://www.voorjebuurt.nl/campaigns/buurtcampingoosterpark/,2015-03-18
83,voorjebuurt,https://www.voorjebuurt.nl/campaigns/muziekstudio/,2015-03-18
84,voorjebuurt,https://www.voorjebuurt.nl/campaigns/rembrandtparkfestival/,2015-03-18
85,voorjebuurt,https://www.voorjebuurt.nl/campaigns/buurtcampingrembrandtpark/,2015-03-18
86,voorjebuurt,https://www.voorjebuurt.nl/campaigns/buurtcampingnoorderpark/,2015-03-18
87,voorjebuurt,https://www.voorjebuurt.nl/campaigns/vintageboulevard/,2015-03-18
88,voorjebuurt,https://www.voorjebuurt.nl/campaigns/vespuzi/,2015-03-18
89,voorjebuurt,https://www.voorjebuurt.nl/campaigns/wereldrestaurant/,2015-03-18
90,voorjebuurt,https://www.voorjebuurt.nl/campaigns/bakgrond/,2015-03-18
91,voorjebuurt,https://www.voorjebuurt.nl/campaigns/stagemarkt/,2015-03-18
92,voorjebuurt,https://www.voorjebuurt.nl/campaigns/kanaalpop/,2015-03-18
93,voorjebuurt,https://www.voorjebuurt.nl/campaigns/splashmob/,2015-03-18
94,voorjebuurt,https://www.voorjebuurt.nl/campaigns/zorghulp/,2015-03-18
95,voorjebuurt,https://www.voorjebuurt.nl/campaigns/kopjes/,2015-03-18
96,voorjebuurt,https://www.voorjebuurt.nl/campaigns/aquaductbroerdijk/,2015-03-18
97,voorjebuurt,https://www.voorjebuurt.nl/campaigns/vivalasvegas/,2015-03-18
98,voorjebuurt,https://www.voorjebuurt.nl/campaigns/brandmerkamsterdam/,2015-03-18
99,voorjebuurt,https://www.voorjebuurt.nl/campaigns/s4cwest/,2015-03-18
100,voorjebuurt,https://www.voorjebuurt.nl/campaigns/watertappunt/,2015-03-18
101,voorjebuurt,https://www.voorjebuurt.nl/campaigns/geluksparade/,2015-03-18
102,voorjebuurt,https://www.voorjebuurt.nl/campaigns/watersport/,2015-03-18
